,cluster,text
0,0,ถ้าคนเยอะก็ไม่อยากไปต่อคิว
1,0,ไม่่มีอะไรน่ากิน
2,0,ถ้าคิวยาวก็ไม่ซื้อ
3,0,ถ้าร้านนั้นคนเยอะก็จะไปเลือกร้านอื่น
4,0,ถ้าแถวยาวมากก็จะขี้เกียจรอ
5,0,ถ้าคนเยอะมากก็เปลี่ยนร้านไม่อยากรอ
6,0,ถ้าคนเยอะเกินไปก็จะไม่ซื้อเปลี่ยนร้านหรือไม่กินเลย
8,0,ขี้เกียจรอนานๆแล้วรู้สึกว่ามันเสียเวลา
9,0,ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน
12,0,โรงอาหารคนเยอะทำให้ไม่อยากซื้อ
13,0,มีเวลาน้อยไม่สามารถต่อคิวได้
15,0,ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน
21,0,ร้านอาหารมีคิวเยอะ
22,0,เลิกเรียนช้าทำให้ไม่เหลืออะไรให้กินเลย
23,0,มีเวลาพักกินข้าวน้อย
28,0,คณะอื่นเยอะมากอาหารซ้ำซากบางทีอยากกินแถวซอยหอแต่เวลาก็ไม่ค่อยพอเลยต้องกินในคณะไปก่อนโรงอาหารร้อนมากและอบมาก
29,0,"ควันเยอะ,ร้อน,แมลงวันไม่ค่อยน่านั่ง"
30,0,คนเยอะต่อคิวนาน
31,0,อาจาร์ยสอนเกินเวลาไม่มีอาหารเหลือให้กิน
32,0,ขี้เกียจต่อแถว
33,0,คนเยอะเบื่ออาหารในคณะวุ่นวายร้อน
36,0,ร้านอาหารมีจำนวนไม่มากพอที่จะรับจำนวนนักศึกษา
37,0,โดนลัดคิว
38,0,ต่อคิวนานคนเยอะมากเนื่องจากหลายคณะมากินโรงอาหารเดียวกับเราทำให้บางร้านต้องรอคิวนานและอาหารไม่ค่อยหลากหลาย
42,0,ร้านจำไม่ได้ว่าเราสั่งอะไร
49,0,โรงอาหารคนเยอะไม่มีโต๊ะให้นัง
53,0,ร้านอาหารมีคิวเยอะ
55,0,มีเวลาพักไม่พอต่อคิว
